+---------------------------------------+-----------------+------------+-----------+-----------+---------+
|              Class Name               | Total Coverage% | Cvrd Stmts | Ttl Stmts | Cvrdd Brs | Ttl Brs |
+---------------------------------------+-----------------+------------+-----------+-----------+---------+
|           teamX.client.App            |        0        |     0      |     5     |     0     |    0    |
|           teamX.server.App            |        0        |     0      |     4     |     0     |    0    |
|     teamX.shared.AbstractTextUser     |       75        |     51     |    64     |     6     |   12    |
|   teamX.shared.ClientHandlerThread    |       80        |     45     |    53     |    12     |   18    |
|          teamX.shared.Client          |       83        |    126     |    142    |    27     |   42    |
|        teamX.shared.TextPlayer        |       85        |    114     |    127    |    19     |   28    |
|       teamX.shared.ServerStream       |       91        |     27     |    28     |     4     |    6    |
|          teamX.shared.Server          |       94        |    108     |    113    |    24     |   26    |
|      teamX.shared.PlayerAccount       |       95        |     18     |    18     |     3     |    4    |
|        teamX.shared.GameThread        |       96        |     88     |    91     |    23     |   24    |
|        teamX.shared.BasicShip         |       96        |     41     |    42     |    11     |   12    |
|         teamX.client.AppTest          |       100       |     0      |     0     |     0     |    0    |
|         teamX.server.AppTest          |       100       |     0      |     0     |     0     |    0    |
|         teamX.shared.TextUser         |       100       |     0      |     0     |     0     |    0    |
|        teamX.shared.Coordinate        |       100       |     22     |    22     |     8     |    8    |
|      teamX.shared.V2ShipFactory       |       100       |     39     |    39     |    10     |   10    |
|        teamX.shared.Placement         |       100       |     29     |    29     |     8     |    8    |
|           teamX.shared.Ship           |       100       |     0      |     0     |     0     |    0    |
|     teamX.shared.ShipDisplayInfo      |       100       |     0      |     0     |     0     |    0    |
|   teamX.shared.AbstractShipFactory    |       100       |     0      |     0     |     0     |    0    |
|     teamX.shared.SignUpException      |       100       |     1      |     1     |     0     |    0    |
|       teamX.shared.TextComputer       |       100       |     17     |    17     |     2     |    2    |
|        teamX.shared.AlienShip         |       100       |     15     |    15     |     6     |    6    |
|      teamX.shared.BoardTextView       |       100       |     54     |    54     |    14     |   14    |
|  teamX.shared.SimpleShipDisplayInfo   |       100       |     5      |     5     |     2     |    2    |
|  teamX.shared.NoCollisionRuleChecker  |       100       |     7      |     7     |     2     |    2    |
|   teamX.shared.PlacementRuleChecker   |       100       |     7      |     7     |     4     |    4    |
|          teamX.shared.Board           |       100       |     0      |     0     |     0     |    0    |
|      teamX.shared.V1ShipFactory       |       100       |     13     |    13     |     4     |    4    |
|      teamX.shared.LoginException      |       100       |     1      |     1     |     0     |    0    |
|           teamX.shared.App            |       100       |     0      |     0     |     0     |    0    |
|     teamX.shared.BattleShipBoard      |       100       |     79     |    79     |    42     |   42    |
|      teamX.shared.ComputerLogic       |       100       |     28     |    28     |     4     |    4    |
|   teamX.shared.InBoundsRuleChecker    |       100       |     14     |    14     |     8     |    8    |
|      teamX.shared.RectangleShip       |       100       |     13     |    13     |     4     |    4    |
|         teamX.shared.AppTest          |       100       |     0      |     0     |     0     |    0    |
|      teamX.shared.AlienShipTest       |       100       |     81     |    81     |     0     |    0    |
|         teamX.shared.ShipTest         |       100       |     0      |     0     |     0     |    0    |
|    teamX.shared.V1ShipFactoryTest     |       100       |     21     |    21     |     0     |    0    |
|      teamX.shared.CoordinateTest      |       100       |     47     |    47     |     0     |    0    |
|    teamX.shared.BoardTextViewTest     |       100       |     60     |    60     |     0     |    0    |
| teamX.shared.InBoundsRuleCheckerTest  |       100       |     13     |    13     |     0     |    0    |
|      teamX.shared.PlacementTest       |       100       |     81     |    81     |     0     |    0    |
|    teamX.shared.ComputerLogicTest     |       100       |     4      |     4     |     0     |    0    |
|        teamX.shared.ServerTest        |       100       |     55     |    55     |     0     |    0    |
|   teamX.shared.BattleShipBoardTest    |       100       |    147     |    147    |     4     |    4    |
|   teamX.shared.SignUpExceptionTest    |       100       |     0      |     0     |     0     |    0    |
|teamX.shared.SimpleShipDisplayInfoTest |       100       |     6      |     6     |     0     |    0    |
|      teamX.shared.BasicShipTest       |       100       |     0      |     0     |     0     |    0    |
|    teamX.shared.RectangleShipTest     |       100       |     59     |    59     |     4     |    4    |
|    teamX.shared.V2ShipFactoryTest     |       100       |     37     |    37     |     0     |    0    |
|teamX.shared.NoCollisionRuleCheckerTest|       100       |     26     |    26     |     0     |    0    |
+---------------------------------------+-----------------+------------+-----------+-----------+---------+
|                Totals                 |       94        |    1599    |   1668    |    255    |   298   |
+---------------------------------------+-----------------+------------+-----------+-----------+---------+


Remove Colors From All Buffers
